conv_id	turn	fresh	reused	kv_xfer_ms	kv_xfer_dur	kv_bw_gbps	kv_prep_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-011	60	947	52169	113.336	113.335	2.706	1.542	201.446	283.788	82.343
aa-rwlt-coding-agent-011	61	350	53116	114.715	114.714	0.98	1.416	193.906	269.683	75.777
aa-rwlt-coding-agent-011	62	767	53466	118.064	118.063	2.165	1.462	202.116	289.084	86.968
aa-rwlt-coding-agent-051	0	7453	2109	3.987	3.986	600.124	0.378	173.138	113.051	-60.087
aa-rwlt-coding-agent-051	1	8311	9562	11.252	11.251	237.158	0.553	215.201	165.534	-49.668
aa-rwlt-coding-agent-051	2	376	17873	9.717	9.716	13.68	0.509	134.674	78.883	-55.791
aa-rwlt-coding-agent-051	3	810	18249	8.666	8.664	30.679	0.536	132.048	87.832	-44.216
aa-rwlt-coding-agent-051	4	1314	19059	9.662	9.66	44.449	0.558	138.512	94.004	-44.508
aa-rwlt-coding-agent-051	5	549	20373	9.814	9.813	18.753	0.569	130.698	83.974	-46.725
aa-rwlt-coding-agent-051	6	533	20922	10.221	10.22	18.007	0.585	134.234	87.068	-47.166
aa-rwlt-coding-agent-051	7	6958	21455	23.55	23.549	94.642	0.819	233.122	204.896	-28.225
aa-rwlt-coding-agent-051	8	1290	28413	26.146	26.144	16.033	0.792	155.36	131.648	-23.712
aa-rwlt-coding-agent-051	9	533	29703	27.859	27.858	6.239	0.856	147.21	128.413	-18.797
aa-rwlt-coding-agent-051	10	207	30236	28.309	28.308	2.889	0.822	148.951	122.648	-26.303
aa-rwlt-coding-agent-051	11	381	30443	28.933	28.932	4.594	0.815	118.794	118.215	-0.58
aa-rwlt-coding-agent-051	12	401	30824	29.699	29.698	4.475	0.834	143.042	121.194	-21.848
aa-rwlt-coding-agent-051	13	1102	31225	32.8	32.799	10.91	0.879	158.864	144.994	-13.87
aa-rwlt-coding-agent-051	14	1640	32327	37.032	37.031	14.356	0.913	187.993	168.644	-19.349
aa-rwlt-coding-agent-051	15	3584	33967	47.126	47.124	24.515	1.037	221.922	213.202	-8.721
aa-rwlt-coding-agent-051	16	315	37551	47.568	47.566	2.364	1.013	150.079	151.582	1.504
aa-rwlt-coding-agent-051	17	2982	37866	58.553	58.552	16.413	1.111	208.972	223.675	14.702
aa-rwlt-coding-agent-051	18	384	40848	60.354	60.353	2.202	1.144	160.244	175.583	15.339
aa-rwlt-coding-agent-051	19	2413	41232	72.858	72.857	10.665	1.301	229.018	241.74	12.721
aa-rwlt-coding-agent-051	20	127	43645	72.65	72.648	0.563	1.185	141.743	190.043	48.3
aa-rwlt-coding-agent-051	21	400	43772	73.817	73.815	1.801	1.174	159.043	190.597	31.554
aa-rwlt-coding-agent-051	22	968	44172	76.998	76.996	4.116	1.197	177.039	209.275	32.236
aa-rwlt-coding-agent-051	23	89	45140	77.519	77.517	0.528	1.178	157.764	190.704	32.94
aa-rwlt-coding-agent-051	24	152	45229	78.522	78.52	0.781	1.194	166.603	195.663	29.06
aa-rwlt-coding-agent-051	25	56	45381	78.477	78.475	0.261	1.199	158.898	198.345	39.447
aa-rwlt-coding-agent-051	26	217	45437	79.351	79.35	0.902	1.199	159.243	196.353	37.11
aa-rwlt-coding-agent-051	27	91	45654	79.19	79.189	0.516	1.208	159.133	195.654	36.521
aa-rwlt-coding-agent-051	28	3002	45745	92.433	92.431	10.508	1.293	229.761	285.405	55.644
aa-rwlt-coding-agent-051	29	68	48747	91.865	91.864	0.334	1.287	163.847	214.186	50.338
aa-rwlt-coding-agent-051	30	498	48815	94.136	94.135	1.846	1.291	169.412	223.921	54.51
aa-rwlt-coding-agent-051	31	437	49313	95.943	95.942	1.492	1.298	169.604	229.289	59.685
aa-rwlt-coding-agent-051	32	683	49750	99.647	99.646	2.36	1.33	235.279	248.466	13.187
aa-rwlt-coding-agent-051	33	537	50433	102.781	102.78	1.691	1.363	188.836	246.19	57.354
aa-rwlt-coding-agent-051	34	564	50970	104.961	104.959	1.851	1.374	184.557	253.772	69.215
aa-rwlt-coding-agent-051	35	2864	51534	118.016	118.015	7.797	1.447	245.084	325.635	80.55
aa-rwlt-coding-agent-051	36	69	54398	118.892	118.89	0.258	1.427	171.807	253.473	81.666
aa-rwlt-coding-agent-051	37	611	54467	120.879	120.877	1.692	1.448	197.503	271.632	74.13
aa-rwlt-coding-agent-051	38	926	55078	129.543	129.542	2.368	1.468	193.649	285.481	91.832
aa-rwlt-coding-agent-051	39	3359	56004	150.105	150.104	7.22	1.579	279.986	390.935	110.95
aa-rwlt-coding-agent-051	40	126	59363	150.199	150.198	0.34	1.545	179.665	294.04	114.375
aa-rwlt-coding-agent-051	41	754	59489	154.456	154.454	1.589	1.574	199.19	317.74	118.55
aa-rwlt-coding-agent-051	42	172	60243	153.453	153.451	0.4	1.626	181.872	303.456	121.585
aa-rwlt-coding-agent-051	43	262	60415	157.354	157.352	0.585	1.592	184.953	312.108	127.155
aa-rwlt-coding-agent-051	44	72	60677	156.57	156.568	0.196	1.584	188.188	301.552	113.364
aa-rwlt-coding-agent-051	45	126	60749	158.331	158.33	0.323	1.595	190.969	306.422	115.452
aa-rwlt-coding-agent-051	46	87	60875	157.922	157.921	0.259	1.593	183.233	305.161	121.929
