
=== aa-rwlt-coding-agent-010  [79 turns | ΔTTFT min=-311.1 p50=-50.0 mean=-53.0 max=+4.2 ms] ===
turn     ISL  OSL_a  OSL_b  cache_r  unique   TTFT_agg   TTFT_dis    Δ_TTFT  ITL_agg  ITL_dis
  34   33305     79     82    0.992     281      157.3      115.2     -42.1      2.0      3.0
  35   33420     97    124    0.996     140      159.2      107.5     -51.7      2.6      2.6
  36   33534    138     99    0.996     126      159.3      107.9     -51.4      2.3      2.9
  37   33623     90     93    0.997     119      162.5      109.1     -53.4      2.4      2.8
  38   33956     91    290    0.990     356      161.6      111.2     -50.4      2.3      2.1
  39   34187     53     49    0.993     235      162.5      112.6     -49.9      1.1      3.4
  40   34346    299    102    0.995     170      159.8      114.4     -45.4      1.5      2.4
  41   34640     53     52    0.991     304      161.6      117.1     -44.5      0.1      2.9
  42   34739     96    193    0.997     115      163.9      112.6     -51.3      2.7      2.3
  43   34909    176    209    0.995     189      167.2      115.0     -52.2      2.1      2.3
  44   35240    161     99    0.990     360      175.1      115.9     -59.2      1.6      2.8
  45   36685     73     72    0.883    4289      244.9      189.2     -55.7      0.5      2.7
  46   37143     48     48    0.949    1903      197.8      158.0     -39.7      0.0      2.8
  47   37398     59     60    0.993     278      172.2      121.2     -51.0      0.4      3.1
  48   38806    172    173    0.963    1430      194.4      147.8     -46.5      1.0      2.1
  49   39301    106     86    0.987     517      172.9      134.5     -38.4      1.3      3.1
  50   44904     76     82    0.817    8219      334.3      288.0     -46.3      2.2      3.4
  51   45428     64     50    0.865    6127      296.7      252.1     -44.5      1.3      3.1
  52   45862    170    137    0.990     454      181.9      140.0     -41.9      2.1      2.9
  53   46353    126    117    0.989     497      185.1      153.0     -32.1      2.1      3.4
  54   46607     81     67    0.994     271      185.9      141.4     -44.5      0.9      2.8
  55   46764    195    130    0.996     172      182.2      137.6     -44.6      1.4      2.8
  56   47830    200    159    0.978    1078      214.5      166.6     -47.9      2.2      2.8
  57   47903     77     90    0.937    2999      249.0      206.3     -42.7      2.5      2.9
  58   48718    185    192    0.982     888      200.9      158.6     -42.4      1.9      2.5
  59   49037    238    120    0.993     333      194.1      146.5     -47.6      1.2      2.8
  60   49136     65    194    0.998     112      185.6      143.2     -42.3      3.1      2.2
  61   49414     41     45    0.994     294      176.4      147.2     -29.2      0.0      2.8
  62   49861     83    171    0.991     453      196.1      150.6     -45.4      1.8      2.3
  63   50268     67     67    0.992     412      192.5      151.4     -41.1      2.0      2.5
  64   51042    151    270    0.984     802      208.9      165.4     -43.5      2.4      2.9
  65   51503     75     74    0.991     463      196.3      156.3     -40.0      1.0      2.9
  66   51760     96     76    0.995     272      197.9      163.3     -34.6      1.5      2.5
  67   51986     62     60    0.995     242      200.0      153.2     -46.9      0.6      3.0

=== aa-rwlt-coding-agent-011  [63 turns | ΔTTFT min=-112.1 p50=-51.4 mean=-53.0 max=-27.2 ms] ===
turn     ISL  OSL_a  OSL_b  cache_r  unique   TTFT_agg   TTFT_dis    Δ_TTFT  ITL_agg  ITL_dis
---------------------------------------------------------------------------------------------
   0   11331     59     61    0.182    9263      203.7      131.8     -71.9      1.5      2.9
   1   11833     45     53    0.957     505      119.9       59.3     -60.6      1.3      3.6
   2   11975     49     51    0.986     167      119.9       60.8     -59.1      1.3      2.8
   3   12046     30     47    0.994      78       99.7       59.5     -40.2      0.0      2.8
   4   14405     68     67    0.835    2373      153.7       98.4     -55.3      2.1      2.9
   5   16330     60     58    0.882    1930      148.3       89.1     -59.2      0.5      2.6
   6   16846     58     58    0.969     526      131.6       68.7     -62.9      0.5      2.6
   7   17245     55     55    0.976     413      124.0       69.5     -54.5      0.0      2.7
   8   21038    320    645    0.818    3822      182.7      122.4     -60.4      2.0      2.5
   9   21267     50     50    0.989     243      136.7       80.6     -56.1      0.0      2.6
  10   21573     42     42    0.985     325      124.8       83.1     -41.7      0.0      3.6
  11   21810     55     54    0.989     242      133.9       77.8     -56.1      0.4      2.7
  12   22018     51     51    0.990     226      135.2       87.3     -47.9      0.5      2.9
  13   22909    162    250    0.961     893      155.3       94.6     -60.7      2.7      2.9
  14   23492    596     42    0.974     612      157.4      105.0     -52.5      1.7      3.6
  15   27222    971    597    0.863    3734      215.9      144.5     -71.4      1.9      2.3
  16   28018    231    140    0.971     818      195.6      110.7     -84.9      1.7      2.5
  17   28538   1769   3197    0.981     538      162.0       95.5     -66.5      1.8      2.4
  18   29707    199   1001    0.960    1195      251.5      139.4    -112.1      2.3      2.4
  19   30237     50     50    0.982     541      156.8      104.2     -52.6      0.0      2.6
  20   30730   1268    961    0.983     522      147.2      101.1     -46.1      1.8      2.5
  21   31653    375    242    0.971     933      209.1      126.4     -82.7      1.9      3.0
  22   32272    194   1464    0.981     624      167.7      115.6     -52.2      2.2      2.4
  23   32627     58     57    0.989     371      156.1      126.8     -29.3      0.1      2.7
  24   33193    105     74    0.982     585      163.5      111.4     -52.0      2.1      2.9
  25   34096    381    781    0.973     912      161.9      117.8     -44.1      1.3      1.7
  26   36171   1323   1221    0.942    2091      192.8      165.6     -27.2      1.5      2.3
  27   37096    131    123    0.975     936      214.0      127.9     -86.1      2.0      2.6
  28   37622    747   1475    0.986     534      165.4      118.7     -46.7      1.7      2.4
  29   38518     94     92    0.976     918      181.7      125.2     -56.5      1.8      2.9
  30   38713     65     67    0.994     217      163.0      118.2     -44.8      0.4      2.7
  31   39070    257    467    0.990     382      164.3      116.4     -47.9      1.6      2.2
  32   40020    539    571    0.976     980      174.1      129.0     -45.0      1.7      2.2
  33   40688    507    177    0.983     688      191.4      129.1     -62.3      1.4      3.1
  34   41361    296    469    0.983     689      184.5      129.9     -54.6      1.7      2.1
  35   42435     93     75    0.974    1091      191.3      143.0     -48.3      2.1      2.9
  36   42831    151    212    0.991     399      167.9      131.1     -36.8      2.0      2.2
  37   43071    155    108    0.994     255      168.9      123.4     -45.5      1.5      2.4
  38   43276     97    119    0.995     236      170.5      122.6     -47.9      1.2      2.7
  39   43740    530    452    0.989     476      171.9      129.0     -43.0      1.3      2.0
  40   44292    118    110    0.987     580      184.2      136.4     -47.8      2.2      2.9
  41   44623    389    391    0.993     335      172.0      131.4     -40.6      1.3      1.7
  42   45064    584    444    0.990     456      183.3      129.7     -53.6      1.7      2.4
  43   45730     85     65    0.985     674      198.6      141.7     -56.9      1.7      3.6
  44   45903    388    447    0.996     175      172.9      130.1     -42.8      1.9      2.5
  45   46665    135    179    0.983     777      190.5      149.4     -41.1      2.1      2.4
  46   47358    131    153    0.985     702      191.4      150.4     -40.9      2.1      2.9
  47   47652     64     59    0.993     324      177.2      136.7     -40.5      0.1      2.6
  48   47895    235    202    0.995     247      180.0      135.3     -44.7      1.5      2.1
  49   48169     56     56    0.994     297      178.5      137.3     -41.1      0.2      2.7
  50   48558    251    276    0.992     398      195.3      139.5     -55.8      1.5      2.0
  51   48826    219    219    0.994     282      189.6      138.2     -51.4      1.3      1.7
  52   49051     59     85    0.995     251      182.2      137.9     -44.3      3.6      2.6
  53   49179     60     60    0.997     155      185.6      137.8     -47.9      0.0      2.4
  54   49426    193    190    0.995     274      185.2      140.2     -44.9      1.3      1.8
  55   49585    659    473    0.996     177      186.9      142.7     -44.1      1.7      1.9
  56   49585    659    199    1.000      17      198.5      146.7     -51.8      1.7      2.3
  57   50757    325    941    0.977    1172      228.4      171.8     -56.7      1.8      2.1
  58   51838    510    487    0.979    1086      215.9      176.3     -39.7      1.3      1.7
  59   52167    261    468    0.993     359      192.5      149.9     -42.6      1.4      2.6
  60   53114    572    424    0.982     954      208.5      165.9     -42.6      1.7      2.3
  61   53464   1612     81    0.993     376      205.0      152.9     -52.1      1.5      2.8
  62   54231    414    341    0.985     791      258.6      167.7     -90.9      1.5      2.2

=== aa-rwlt-coding-agent-056  [61 turns | ΔTTFT min=-130.7 p50=-37.7 mean=-20.0 max=+883.0 ms] ===
turn     ISL  OSL_a  OSL_b  cache_r  unique   TTFT_agg   TTFT_dis    Δ_TTFT  ITL_agg  ITL_dis
---------------------------------------------------------------------------------------------
   0    9573     72    135    0.000    9573     1077.9     1960.9     883.0      1.2      1.6
   1    9886     43     54    0.968     318      154.0      286.6     132.6      0.0      1.1
   2    9941     34     34    0.991      85      148.5      291.4     142.9      0.0      0.2
   3   13398     71     62    0.740    3478      193.0      300.5     107.5      0.4      1.1
   4   16592     49     58    0.806    3216      174.8      114.3     -60.5      0.0      2.8
   5   32110    255    345    0.516   15534      360.3      306.1     -54.2      2.2      2.8
   6   32590   1037    505    0.985     494      162.4      105.9     -56.5      1.8      2.7
   7   35647    570    789    0.914    3071      254.6      154.6    -100.1      2.0      2.6
   8   54129    140    974    0.658   18513      570.5      499.3     -71.2      2.3      2.5
   9   54804     54     51    0.987     692      190.2      149.0     -41.2      0.6      3.1
  10   54871     59     60    0.998      87      165.0      119.8     -45.1      0.3      2.5
  11   54963     47     47    0.998     115      170.2      127.5     -42.7      0.7      3.8
  12   55232    252     71    0.995     288      174.3      135.0     -39.3      2.0      3.5
  13   55434     44     60    0.996     202      173.9      135.3     -38.6      0.0      3.5
  14   55840    430    571    0.993     416      172.9      130.7     -42.2      1.5      1.9
  15   56085   2097    514    0.996     245      185.4      132.7     -52.8      1.7      2.6
  16   57111     55     52    0.982    1047      290.5      169.8    -120.7      0.8      3.7
  17   57614    156    148    0.991     526      171.3      152.9     -18.4      2.1      3.1
  18   60099     56     56    0.958    2499      238.0      208.0     -30.0      0.5      3.3
  19   60222    100     85    0.998     126      176.0      135.2     -40.8      2.2      3.1
  20   60390    216    289    0.997     198      180.9      135.6     -45.3      2.2      2.8
  21   60461     50     47    0.999      77      176.4      138.3     -38.1      0.1      2.8
  22   60550     84    451    0.998     102      170.7      137.3     -33.4      2.8      1.9
  23   61852    114    767    0.979    1308      214.4      180.7     -33.7      2.2      2.1
  24   62074    125    120    0.996     250      189.4      142.4     -47.0      1.6      2.5
  25   62285     64     64    0.996     237      186.1      148.4     -37.7      0.7      2.5
  26   62586    225    139    0.995     314      189.5      142.5     -47.0      1.9      2.8
  27   63647    283    163    0.983    1087      223.8      178.0     -45.8      1.9      2.7
  28   63976    285    191    0.994     360      193.4      157.7     -35.7      2.2      2.7
  29   64115    141    433    0.998     147      197.4      154.1     -43.3      2.3      2.3
  30   65596    632   2967    0.977    1500      229.9      193.3     -36.6      1.6      1.9
  31   66003    731    580    0.993     435      205.4      167.3     -38.1      1.7      2.2
  32   66228     53     60    0.996     244      213.3      152.7     -60.6      0.0      3.3
  33   66324    162    152    0.998     116      188.1      150.1     -38.0      0.9      1.7
  34   67148   2081   2193    0.987     844      221.3      180.2     -41.1      1.5      1.9
  35   68254    321    374    0.984    1118      302.3      191.4    -110.9      1.8      2.8
  36   68644    232    429    0.994     420      203.0      168.4     -34.6      1.2      2.1
  37   69714    167    103    0.985    1074      226.1      193.4     -32.7      2.3      3.0
  38   70417    217    232    0.990     721      222.1      185.0     -37.1      1.8      2.5
  39   72145    242    473    0.976    1745      250.3      219.2     -31.1      2.2      2.5
  40   74848     59     60    0.964    2720      287.6      243.2     -44.4      1.1      3.5
  41   75143   1088    283    0.996     295      202.8      184.4     -18.4      2.7      2.5
  42   75340     53     53    0.997     204      235.3      171.1     -64.3      0.6      3.1
  43   75964     56     56    0.992     636      226.1      196.7     -29.4      1.4      3.1
  44   76047     48     43    0.999     111      208.1      170.1     -38.0      0.2      3.8
  45   76135    160    154    0.999     103      200.8      175.5     -25.2      2.5      2.8
  46   76675     48     49    0.993     547      227.6      202.4     -25.2      0.0      3.2
  47   76787     51     52    0.999     115      207.2      172.4     -34.8      0.1      3.0
  48   77072    347    189    0.996     304      212.4      177.0     -35.4      2.0      3.0
  49   77193     65     65    0.998     137      204.7      182.1     -22.6      1.3      3.2
  50   77318     53     52    0.998     134      209.5      180.8     -28.7      0.4      3.1
  51   77748     86    316    0.994     436      221.7      181.3     -40.3      2.1      2.8
  52   77929     73     78    0.997     201      212.4      179.8     -32.6      1.7      3.2
  53   78223    140    115    0.996     303      211.4      186.4     -25.0      1.7      2.3
  54   78345     51     59    0.998     137      208.2      178.6     -29.6      0.0      3.6
  55   78504     59     64    0.998     168      216.4      187.8     -28.6      0.9      2.9
  56   78867     69     69    0.995     371      228.8      195.8     -32.9      1.3      3.0
  57   79843   2275    152    0.988     995      239.3      210.8     -28.5      3.0      2.2
  58   80818    261    215    0.988     978      341.1      210.4    -130.7      1.8      2.7
  59   81601     71     75    0.990     801      243.2      219.2     -23.9      0.7      2.5
  60   81684     63     66    0.999      84      219.5      191.7     -27.8      0.3      2.6

=== aa-rwlt-coding-agent-051  [47 turns | ΔTTFT min=-81.1 p50=-45.1 mean=-47.2 max=-25.2 ms] ===
turn     ISL  OSL_a  OSL_b  cache_r  unique   TTFT_agg   TTFT_dis    Δ_TTFT  ITL_agg  ITL_dis
---------------------------------------------------------------------------------------------
   0    9563     59    308    0.221    7453      189.3      114.2     -75.2      1.3      2.3
   1   17874    214    162    0.533    8338      214.9      152.7     -62.2      2.2      3.0
   2   18250    205    268    0.978     394      126.7       70.8     -55.9      2.0      2.7
   3   19060     44    132    0.957     820      131.8       74.9     -56.9      0.7      2.8
   4   20374     51     51    0.934    1334      140.6       84.5     -56.1      1.1      3.7
   5   20923     58     52    0.973     571      136.0       79.6     -56.4      1.1      2.7
   6   21456     47     47    0.974     560      132.8       76.9     -55.9      0.2      3.7
   7   28414    255    386    0.755    6974      236.8      181.0     -55.9      1.7      2.5
   8   29704    202    196    0.956    1320      156.9      105.3     -51.6      1.7      2.7
   9   30237    197    329    0.982     541      145.3       94.0     -51.3      1.9      2.3
  10   30444     44     44    0.992     236      137.4       92.4     -45.1      0.0      3.4
  11   30825     39     39    0.987     393      125.2       91.6     -33.6      0.0      3.7
  12   31226    518    325    0.987     410      143.2       92.0     -51.2      1.5      2.3
  13   32328    634   2250    0.965    1128      174.8      115.2     -59.6      1.9      2.3
  14   33968    408    354    0.952    1648      207.2      149.0     -58.2      1.9      2.5
  15   37552     49     59    0.904    3600      233.6      169.4     -64.2      0.4      3.2
  16   37867    606    754    0.991     331      151.1      104.4     -46.6      1.8      2.5
  17   40849     57    211    0.927    2993      230.8      205.6     -25.2      1.4      2.6
  18   41233    367    553    0.990     401      155.7      111.0     -44.7      1.9      2.6
  19   43646    604    278    0.944    2430      211.3      165.5     -45.8      1.8      2.2
  20   43773     41     41    0.996     157      164.1      117.3     -46.7      0.0      3.7
  21   44173    737    560    0.990     429      161.2      118.8     -42.5      1.7      2.5
  22   45141     51     46    0.978     981      197.8      131.6     -66.3      0.4      3.7
  23   45230    165    123    0.998     110      160.1      116.3     -43.7      2.3      3.2
  24   45382     90    137    0.996     166      163.3      119.0     -44.3      2.5      3.1
  25   45438     76    209    0.999      62      161.2      123.1     -38.1      2.4      2.4
  26   45655    140    168    0.995     247      164.1      118.4     -45.7      2.0      2.7
  27   45746    222    121    0.998     114      161.4      120.5     -40.8      2.0      2.9
  28   48748     67    726    0.938    3020      234.8      189.6     -45.3      1.2      2.0
  29   48816     48     55    0.998      80      166.8      127.0     -39.8      0.7      3.0
  30   49314     60     57    0.990     514      176.6      142.5     -34.0      0.7      2.8
  31   49751     59     56    0.991     439      176.2      131.5     -44.7      0.5      2.5
  32   50434     91    157    0.986     706      185.0      144.0     -41.0      2.5      2.8
  33   50971    219    156    0.989     539      189.4      143.7     -45.7      2.1      2.7
  34   51535    229    226    0.989     591      187.0      145.5     -41.5      1.9      2.9
  35   54399     54    218    0.947    2879      249.0      207.1     -42.0      0.4      2.7
  36   54468    121    129    0.998     100      175.2      137.2     -37.9      2.5      2.6
  37   55079    327    278    0.989     615      198.9      153.7     -45.1      2.0      2.7
  38   56005    232    221    0.983     933      204.2      158.9     -45.3      1.9      2.7
  39   59364     51     50    0.943    3364      283.0      240.7     -42.3      0.4      3.0
  40   59490    136    207    0.998     130      183.3      147.0     -36.3      2.0      2.7
  41   60244    187    222    0.988     756      204.1      165.8     -38.4      1.8      2.7
  42   60416    111    139    0.997     192      187.1      153.7     -33.4      1.7      3.0
  43   60678     65    120    0.996     262      241.4      160.3     -81.1      0.7      2.8
  44   60750    150     95    0.999      78      184.0      148.3     -35.6      2.5      3.1
  45   60876     60     55    0.998     140      187.4      152.4     -35.1      0.6      3.0
  46   60963     56    148    0.998      99      188.1      151.5     -36.5      1.5      3.1

Legend: ratios in [0,1] = cached/input.  Δ_TTFT = disagg − agg (negative = disagg faster).
