conv_id	turn	fresh	reused	reuse_pct	kv_mb	kv_xfer_ms	wait_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-011	24	566	32628	98.295	35.344	39.539	50.606	70.958	136.566	65.608
aa-rwlt-coding-agent-011	25	903	33194	97.352	80.438	46.309	57.818	70.099	174.078	103.979
aa-rwlt-coding-agent-011	26	2075	34097	94.264	36.562	48.211	59.975	100.096	152.69	52.594
aa-rwlt-coding-agent-011	27	925	36172	97.507	20.719	49.393	61.242	74.682	150.053	75.371
aa-rwlt-coding-agent-011	28	526	37097	98.602	35.344	52.933	65.484	71.628	161.644	90.016
aa-rwlt-coding-agent-011	29	896	37623	97.674	8.531	53.854	65.871	76.391	149.582	73.191
aa-rwlt-coding-agent-011	30	195	38519	99.496	14.625	54.714	66.776	68.655	151.812	83.157
aa-rwlt-coding-agent-011	31	357	38714	99.086	36.562	58.401	70.72	75.891	167.58	91.689
aa-rwlt-coding-agent-011	32	950	39071	97.626	26.812	60.087	72.284	79.764	173.668	93.904
aa-rwlt-coding-agent-011	33	668	40021	98.358	26.812	63.059	75.903	84.927	174.081	89.154
aa-rwlt-coding-agent-011	34	673	40689	98.373	42.656	66.101	78.768	79.378	189.53	110.152
aa-rwlt-coding-agent-011	35	1074	41362	97.469	15.844	68.612	81.582	95.042	170.718	75.676
aa-rwlt-coding-agent-011	36	396	42436	99.075	9.75	69.35	82.115	71.619	173.528	101.909
aa-rwlt-coding-agent-011	37	240	42832	99.443	8.531	69.525	82.529	74.558	173.485	98.927
aa-rwlt-coding-agent-011	38	205	43072	99.526	18.281	71.008	84.541	71.903	176.253	104.35
aa-rwlt-coding-agent-011	39	464	43277	98.939	21.938	75.23	88.805	73.987	191.896	117.909
aa-rwlt-coding-agent-011	40	552	43741	98.754	13.406	75.315	88.536	81.884	182.153	100.269
aa-rwlt-coding-agent-011	41	331	44293	99.258	18.281	78.231	91.537	73.187	193.277	120.09
aa-rwlt-coding-agent-011	42	441	44624	99.021	26.812	80.138	93.655	88.218	198.732	110.514
aa-rwlt-coding-agent-011	43	666	45065	98.544	7.312	80.344	93.992	86.592	189.072	102.48
aa-rwlt-coding-agent-011	44	173	45731	99.623	30.469	83.782	97.687	75.61	211.238	135.628
aa-rwlt-coding-agent-011	45	762	45904	98.367	26.812	85.615	99.358	89.137	208.432	119.295
aa-rwlt-coding-agent-011	46	693	46666	98.537	12.188	87.372	101.34	89.932	198.235	108.303
aa-rwlt-coding-agent-011	47	294	47359	99.383	9.75	88.381	102.466	77.153	203.269	126.116
aa-rwlt-coding-agent-011	48	243	47653	99.493	12.188	89.903	104.246	78.593	203.7	125.107
aa-rwlt-coding-agent-011	49	274	47896	99.431	15.844	91.764	106.081	80.042	208.938	128.896
aa-rwlt-coding-agent-011	50	389	48170	99.199	10.969	92.827	106.994	90.851	209.371	118.52
aa-rwlt-coding-agent-011	51	268	48559	99.451	8.531	93.364	107.389	85.971	208.902	122.931
aa-rwlt-coding-agent-011	52	225	48827	99.541	4.875	93.911	108.625	79.028	208.175	129.147
aa-rwlt-coding-agent-011	53	128	49052	99.74	9.75	95.166	109.923	85.825	217.035	131.21
aa-rwlt-coding-agent-011	54	247	49180	99.5	7.312	95.052	109.336	80.699	212.609	131.91
aa-rwlt-coding-agent-011	55	159	49427	99.679	1.219	95.314	109.765	86.236	209.014	122.778
aa-rwlt-coding-agent-011	56	1	49585	99.998	46.312	100.499	115.157	79.788	246.602	166.814
aa-rwlt-coding-agent-011	57	1172	49586	97.691	41.438	105.254	120.116	109.424	258.12	148.696
aa-rwlt-coding-agent-011	58	1081	50758	97.915	13.406	107.249	122.917	111.065	231.298	120.233
aa-rwlt-coding-agent-011	59	329	51839	99.369	36.562	111.391	126.845	87.031	254.158	167.127
aa-rwlt-coding-agent-011	60	947	52168	98.217	13.406	112.829	128.29	102.311	243.271	140.96
aa-rwlt-coding-agent-011	61	350	53115	99.345	30.469	115.854	131.736	94.056	257.35	163.294
aa-rwlt-coding-agent-011	62	767	53465	98.586	285.188	4.579	9.629	102.968	103.386	0.418
aa-rwlt-coding-agent-051	0	7454	2110	22.062	318.094	11.286	18.212	86.439	155.207	68.768
aa-rwlt-coding-agent-051	1	8311	9564	53.505	15.844	10.045	17.053	129.077	70.562	-58.515
aa-rwlt-coding-agent-051	2	376	17875	97.94	31.688	9.711	16.748	41.843	78.338	36.495
aa-rwlt-coding-agent-051	3	810	18251	95.75	51.188	11.49	18.952	45.872	84.86	38.988
aa-rwlt-coding-agent-051	4	1314	19061	93.551	21.938	11.709	19.232	54.803	76.815	22.012
aa-rwlt-coding-agent-051	5	549	20375	97.376	21.938	12.164	19.919	45.759	77.536	31.777
aa-rwlt-coding-agent-051	6	533	20924	97.516	265.688	25.353	35.309	49.522	194.659	145.137
aa-rwlt-coding-agent-051	7	6958	21457	75.513	49.969	27.805	37.865	146.558	121.359	-25.199
aa-rwlt-coding-agent-051	8	1290	28415	95.657	20.719	28.81	38.959	68.423	110.684	42.261
aa-rwlt-coding-agent-051	9	533	29705	98.237	8.531	29.092	38.968	57.148	106.277	49.129
aa-rwlt-coding-agent-051	10	207	30238	99.32	15.844	29.914	39.976	52.991	107.018	54.027
aa-rwlt-coding-agent-051	11	381	30445	98.764	15.844	30.677	40.646	54.358	109.21	54.852
aa-rwlt-coding-agent-051	12	401	30826	98.716	42.656	33.917	44.582	55.396	132.357	76.961
aa-rwlt-coding-agent-051	13	1102	31227	96.591	63.375	39.506	50.843	71.368	161.189	89.821
aa-rwlt-coding-agent-051	14	1640	32329	95.172	137.719	50.511	62.58	87.841	203.485	115.644
aa-rwlt-coding-agent-051	15	3584	33969	90.456	13.406	50.276	62.546	134.266	140.409	6.143
aa-rwlt-coding-agent-051	16	315	37553	99.168	114.562	61.314	74.357	59.784	212.024	152.24
aa-rwlt-coding-agent-051	17	2982	37868	92.7	15.844	62.232	74.939	120.5	159.228	38.728
aa-rwlt-coding-agent-051	18	384	40850	99.069	92.625	72.157	85.493	71.088	217.985	146.897
aa-rwlt-coding-agent-051	19	2413	41234	94.472	4.875	71.632	85.381	114.064	169.403	55.339
aa-rwlt-coding-agent-051	20	127	43647	99.71	15.844	73.206	86.972	68.715	173.905	105.19
aa-rwlt-coding-agent-051	21	400	43774	99.094	37.781	78.256	91.825	68.233	193.246	125.013
aa-rwlt-coding-agent-051	22	968	44174	97.856	4.875	77.04	90.601	90.912	173.86	82.948
aa-rwlt-coding-agent-051	23	89	45142	99.803	7.312	78.949	92.313	67.738	179.545	111.807
aa-rwlt-coding-agent-051	24	152	45231	99.665	2.438	78.824	92.863	68.048	178.849	110.801
aa-rwlt-coding-agent-051	25	56	45383	99.877	8.531	79.456	93.041	68.187	181.897	113.71
aa-rwlt-coding-agent-051	26	217	45439	99.525	4.875	80.03	93.514	69.105	180.6	111.495
aa-rwlt-coding-agent-051	27	91	45656	99.801	115.781	93.119	108.048	68.192	266.691	198.499
aa-rwlt-coding-agent-051	28	3002	45747	93.842	3.656	92.622	107.42	136.716	198.856	62.14
