conv_id	turn	fresh	reused	reuse_pct	kv_mb	kv_xfer_ms	wait_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-073	13	191	18094	98.955	8.531	9.532	17.602	47.432	76.722	29.29
aa-rwlt-coding-agent-073	14	692	18285	96.353	28.031	10.518	18.507	49.569	78.557	28.988
aa-rwlt-coding-agent-073	15	1231	18977	93.908	47.531	13.061	21.021	58.734	91.819	33.085
aa-rwlt-coding-agent-073	16	312	20208	98.48	13.406	13.195	21.337	50.102	86.262	36.16
aa-rwlt-coding-agent-073	17	105	20520	99.491	4.875	12.814	21.001	51.288	82.819	31.531
aa-rwlt-coding-agent-073	18	72	20625	99.652	3.656	12.699	20.912	49.949	80.495	30.546
aa-rwlt-coding-agent-073	19	360	20697	98.29	15.844	13.554	21.759	51.178	83.687	32.509
aa-rwlt-coding-agent-073	20	77	21057	99.636	3.656	13.654	21.92	51.275	88.286	37.011
aa-rwlt-coding-agent-073	21	1322	21134	94.113	51.188	16.566	25.319	64.493	104.098	39.605
aa-rwlt-coding-agent-073	22	465	22456	97.971	19.5	17.589	26.622	53.276	92.078	38.802
aa-rwlt-coding-agent-073	23	1497	22921	93.869	58.5	19.874	29.387	69.542	112.2	42.658
aa-rwlt-coding-agent-073	24	300	24418	98.786	12.188	20.11	33.283	55.693	101.218	45.525
aa-rwlt-coding-agent-073	25	1391	24718	94.672	53.625	23.086	32.692	76.999	121.9	44.901
aa-rwlt-coding-agent-073	26	12322	15092	55.052	470.438	28.412	38.349	214.127	265.905	51.778
aa-rwlt-coding-agent-073	27	589	27414	97.897	24.375	28.886	39.275	63.324	119.056	55.732
aa-rwlt-coding-agent-073	28	3161	28003	89.857	120.656	37.879	48.775	110.81	175.301	64.491
aa-rwlt-coding-agent-073	29	5455	26109	82.718	208.406	39.224	50.476	146.499	213.448	66.949
aa-rwlt-coding-agent-073	30	1234	31164	96.191	48.75	41.13	52.276	79.241	147.071	67.83
aa-rwlt-coding-agent-073	31	1124	31564	96.561	43.875	42.31	53.719	83.962	153.314	69.352
aa-rwlt-coding-agent-073	32	100	32688	99.695	4.875	42.458	53.658	67.675	134.907	67.232
aa-rwlt-coding-agent-073	33	247	32788	99.252	10.969	43.325	54.643	64.661	134.341	69.68
aa-rwlt-coding-agent-073	34	272	33035	99.183	10.969	44.084	55.424	63.861	137.725	73.864
aa-rwlt-coding-agent-073	35	115	33307	99.656	4.875	44.253	56.209	65.15	135.44	70.29
aa-rwlt-coding-agent-073	36	114	33422	99.66	4.875	44.93	56.369	63.876	135.831	71.955
aa-rwlt-coding-agent-073	37	89	33536	99.735	3.656	44.663	56.296	64.289	138.639	74.35
aa-rwlt-coding-agent-073	38	333	33625	99.019	13.406	46.715	59.302	66.462	141.103	74.641
aa-rwlt-coding-agent-073	39	231	33958	99.324	9.75	46.927	58.479	73.254	140.709	67.455
aa-rwlt-coding-agent-073	40	159	34189	99.537	7.312	47.108	58.341	65.944	139.389	73.445
aa-rwlt-coding-agent-073	41	294	34348	99.151	12.188	49.032	60.306	67.161	143.414	76.253
aa-rwlt-coding-agent-073	42	99	34642	99.715	4.875	49.272	61.202	69.869	145.641	75.772
aa-rwlt-coding-agent-073	43	170	34741	99.513	7.312	49.858	61.719	69.15	145.992	76.842
aa-rwlt-coding-agent-073	44	331	34911	99.061	13.406	50.123	62.106	69.73	146.866	77.136
aa-rwlt-coding-agent-073	45	4289	32398	88.309	164.531	55.946	68.422	141.139	225.852	84.713
aa-rwlt-coding-agent-073	46	1903	35242	94.877	73.125	57.726	69.907	107.758	193.758	86.0
aa-rwlt-coding-agent-073	47	255	37145	99.318	10.969	58.198	70.569	73.682	161.466	87.784
aa-rwlt-coding-agent-073	48	1408	37400	96.372	54.844	63.613	76.491	96.231	188.785	92.554
aa-rwlt-coding-agent-073	49	495	38808	98.741	20.719	64.699	77.785	75.129	177.289	102.16
aa-rwlt-coding-agent-073	50	8219	36687	81.697	314.438	88.768	103.111	232.393	356.556	124.163
aa-rwlt-coding-agent-073	51	6127	39303	86.513	234.0	90.918	105.56	200.012	321.332	121.32
aa-rwlt-coding-agent-073	52	434	45430	99.054	18.281	92.863	107.365	83.324	210.484	127.16
aa-rwlt-coding-agent-073	53	491	45864	98.941	19.5	95.233	109.934	84.757	213.856	129.099
aa-rwlt-coding-agent-073	54	254	46355	99.455	10.969	95.825	110.585	83.987	214.453	130.466
aa-rwlt-coding-agent-073	55	157	46609	99.664	7.312	96.668	111.063	84.042	213.063	129.021
aa-rwlt-coding-agent-073	56	1066	46766	97.771	41.438	101.525	116.389	111.748	244.617	132.869
aa-rwlt-coding-agent-073	57	2999	44906	93.74	115.781	102.039	117.668	146.678	285.811	139.133
aa-rwlt-coding-agent-073	58	888	47832	98.177	35.344	105.697	120.847	99.828	239.622	139.794
aa-rwlt-coding-agent-073	59	319	48720	99.349	13.406	107.528	124.264	93.022	231.707	138.685
aa-rwlt-coding-agent-073	60	99	49039	99.799	4.875	107.742	122.889	84.409	226.997	142.588
aa-rwlt-coding-agent-073	61	278	49138	99.437	12.188	108.828	124.397	86.62	230.698	144.078
aa-rwlt-coding-agent-073	62	447	49416	99.104	18.281	111.578	127.128	88.708	236.897	148.189
aa-rwlt-coding-agent-073	63	407	49863	99.19	15.844	112.906	128.309	88.258	238.203	149.945
aa-rwlt-coding-agent-073	64	774	50270	98.484	31.688	116.7	132.696	102.321	255.602	153.281
aa-rwlt-coding-agent-073	65	461	51044	99.105	18.281	118.647	134.523	91.633	246.723	155.09
aa-rwlt-coding-agent-073	66	257	51505	99.503	10.969	120.335	136.615	89.668	254.615	164.947
aa-rwlt-coding-agent-073	67	226	51762	99.565	9.75	121.43	137.559	89.082	252.602	163.52
