conv	turn	fresh	reused_tok	num_total_blk	num_new_blk	num_reused_blk	num_missed_blk	kv_size_bytes	kv_xfer_ms	wait_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms	xfer_prep_ms	xfer_preproc_ms	xfer_transmissions_ms	xfer_postproc_ms
aa-rwlt-coding-agent-010	25	887	35126	29	29	1098	28	37060608	52.928	64.929	73.937	155.344	81.407				
aa-rwlt-coding-agent-010	26	264	36013	9	9	1126	8	11501568	54.207	67.068	67.439	148.177	80.738				
aa-rwlt-coding-agent-010	27	269	36277	9	9	1135	8	11501568	55.952	69.404	65.769	155.978	90.209				
aa-rwlt-coding-agent-010	28	230	36546	8	8	1143	7	10223616	55.808	67.849	65.75	149.735	83.985				
aa-rwlt-coding-agent-010	29	691	36776	22	22	1150	21	28114944	59.346	71.637	74.416	162.891	88.475				
aa-rwlt-coding-agent-010	30	530	37467	18	18	1171	17	23003136	60.398	73.193	74.26	164.431	90.171				
aa-rwlt-coding-agent-010	31	407	37997	14	14	1188	13	17891328	61.766	75.0	68.209	159.976	91.767				
aa-rwlt-coding-agent-010	32	600	38404	19	19	1201	18	24281088	64.334	77.186	76.691	170.31	93.619				
aa-rwlt-coding-agent-010	33	318	39004	11	11	1219	10	14057472	65.692	79.215	69.672	163.379	93.707				
aa-rwlt-coding-agent-010	34	367	39322	13	13	1229	12	16613376	66.98	80.585	72.318	166.456	94.138				
aa-rwlt-coding-agent-010	35	663	39689	21	21	1241	20	26836992	69.976	83.155	79.014	181.243	102.229				
aa-rwlt-coding-agent-010	36	589	40352	19	19	1262	18	24281088	71.964	85.396	79.609	182.859	103.25				
aa-rwlt-coding-agent-010	37	208	40941	7	7	1280	6	8945664	72.763	86.093	72.567	174.419	101.852				
aa-rwlt-coding-agent-010	38	510	41149	16	16	1286	16	20447232	75.103	88.404	78.668	180.439	101.771				
aa-rwlt-coding-agent-010	39	246	41659	9	9	1302	8	11501568	75.652	89.074	71.349	180.559	109.21				
aa-rwlt-coding-agent-010	40	733	41905	24	24	1310	23	30670848	78.974	92.884	83.786	194.627	110.841				
aa-rwlt-coding-agent-010	41	2488	42638	79	79	1333	78	100958208	90.108	104.027	124.339	248.358	124.019				
aa-rwlt-coding-agent-010	42	145	45126	5	5	1411	4	6389760	90.795	105.286	76.126	200.634	124.508				
aa-rwlt-coding-agent-010	43	87	45271	3	3	1416	2	3833856	90.868	105.541	75.817	198.918	123.101				
aa-rwlt-coding-agent-010	44	1067	45358	34	34	1418	33	43450368	95.264	109.901	113.023	233.537	120.514				
aa-rwlt-coding-agent-010	45	85	46425	4	4	1451	3	5111808	95.784	110.436	77.409	204.848	127.439				
aa-rwlt-coding-agent-010	46	1071	46510	34	34	1454	33	43450368	100.429	115.45	103.078	238.002	134.924				
aa-rwlt-coding-agent-010	47	87	47581	3	3	1487	3	3833856	100.936	115.884	77.602	211.762	134.16				
aa-rwlt-coding-agent-010	48	201	47668	7	7	1490	6	8945664	101.057	116.044	79.282	215.888	136.606				
aa-rwlt-coding-agent-010	49	380	47869	12	12	1496	12	15335424	103.394	118.394	85.093	219.776	134.683				
aa-rwlt-coding-agent-010	50	533	48249	18	18	1508	17	23003136	106.03	131.039	93.038	242.189	149.151				
aa-rwlt-coding-agent-010	51	234	48782	8	8	1525	7	10223616	107.116	122.345	81.604	225.246	143.642				
aa-rwlt-coding-agent-010	52	839	49016	27	27	1532	26	34504704	111.671	127.073	96.139	244.282	148.143				
aa-rwlt-coding-agent-010	53	74	49855	3	3	1559	2	3833856	111.258	126.75	88.192	228.124	139.932				
aa-rwlt-coding-agent-010	54	1082	49929	35	35	1561	34	44728320	117.258	133.227	109.681	263.029	153.348				
aa-rwlt-coding-agent-010	55	1919	51011	61	61	1595	60	77955072	132.302	150.448	128.917	307.638	178.721				
aa-rwlt-coding-agent-010	56	1440	52930	46	46	1655	45	58785792	139.093	156.601	117.72	297.753	180.033				
aa-rwlt-coding-agent-010	57	1992	54370	63	63	1700	62	80510976	149.004	167.523	136.798	328.66	191.862				
aa-rwlt-coding-agent-010	58	187	56362	7	7	1762	6	8945664	149.714	167.005	91.489	279.739	188.25				
aa-rwlt-coding-agent-010	59	1564	56549	50	50	1768	49	63897600	158.586	175.848	136.406	332.507	196.101				
aa-rwlt-coding-agent-010	60	828	58113	26	26	1817	25	33226752	162.524	179.892	109.834	313.57	203.736				
aa-rwlt-coding-agent-010	61	804	58941	26	26	1842	26	33226752	167.082	184.951	111.048	318.115	207.067				
aa-rwlt-coding-agent-010	62	739	59745	24	24	1868	23	30670848	171.703	189.754	111.387	321.73	210.343				
aa-rwlt-coding-agent-010	63	659	60484	21	21	1891	20	26836992	175.947	194.179	110.922	328.115	217.193				
aa-rwlt-coding-agent-010	64	1252	61143	40	40	1911	39	51118080	183.153	201.965	129.745	353.639	223.894				
aa-rwlt-coding-agent-010	65	442	62395	15	15	1950	14	19169280	184.526	203.674	100.808	328.034	227.226				
aa-rwlt-coding-agent-010	66	531	62837	18	18	1964	17	23003136	187.885	206.886	116.59	342.781	226.191				
aa-rwlt-coding-agent-010	67	773	63368	25	25	1981	24	31948800	192.22	211.731	116.684	351.99	235.306				
aa-rwlt-coding-agent-010	68	370	64141	12	12	2005	11	15335424	200.963	220.524	102.754	346.293	243.539				
aa-rwlt-coding-agent-010	69	335	64511	11	11	2017	10	14057472	196.398	216.137	102.843	340.714	237.871				
aa-rwlt-coding-agent-010	70	463	64846	15	15	2027	14	19169280	193.333	212.787	104.822	341.565	236.743				
aa-rwlt-coding-agent-010	71	627	65309	20	20	2042	19	25559040	194.546	222.933	120.692	372.458	251.766				
aa-rwlt-coding-agent-010	72	553	65936	18	18	2061	17	23003136	197.523	217.14	119.177	360.148	240.971				
aa-rwlt-coding-agent-010	73	649	66489	22	22	2078	21	28114944	204.032	224.54	128.845	370.32	241.475				
aa-rwlt-coding-agent-010	74	816	67138	26	26	2099	25	33226752	209.685	229.958	124.614	380.035	255.421				
aa-rwlt-coding-agent-010	75	732	67954	24	24	2124	23	30670848	215.659	235.943	124.654	385.379	260.725				
aa-rwlt-coding-agent-010	76	163	68686	6	6	2147	5	7667712	216.118	235.909	106.219	369.049	262.83				
aa-rwlt-coding-agent-010	77	410	68849	14	14	2152	13	17891328	217.016	236.806	110.601	371.595	260.994				
aa-rwlt-coding-agent-010	78	287	69259	10	10	2165	9	12779520	220.889	241.448	109.215	376.57	267.355				
aa-rwlt-coding-agent-011	0	9264	2068	291	291	65	290	371884032	6.924	12.971	110.199	132.306	22.107				
aa-rwlt-coding-agent-011	1	502	11332	16	16	355	15	20447232	6.854	12.746	38.041	57.862	19.821				
aa-rwlt-coding-agent-011	2	142	11834	6	6	370	5	7667712	5.744	11.567	37.805	57.018	19.213				
aa-rwlt-coding-agent-011	3	71	11976	3	3	375	2	3833856	4.566	10.252	42.97	54.465	11.495				
aa-rwlt-coding-agent-011	4	2359	12047	75	75	377	74	95846400	6.426	12.445	68.788	90.157	21.369				
aa-rwlt-coding-agent-011	5	1925	14406	61	61	451	60	77955072	9.077	15.694	61.619	85.359	23.74				
aa-rwlt-coding-agent-011	6	516	16331	17	17	511	16	21725184	8.759	15.866	56.225	75.944	19.719				
aa-rwlt-coding-agent-011	7	399	16847	13	13	527	12	16613376	8.55	15.672	44.205	68.139	23.934				
aa-rwlt-coding-agent-011	8	3793	17246	119	119	540	118	152076288	15.489	23.874	95.513	127.253	31.74				
aa-rwlt-coding-agent-011	9	229	21039	8	8	658	7	10223616	15.586	24.208	49.854	82.333	32.479				
aa-rwlt-coding-agent-011	10	306	21268	11	11	665	10	14057472	14.931	23.238	48.811	82.983	34.172				
aa-rwlt-coding-agent-011	11	237	21574	8	8	675	7	10223616	14.995	23.289	47.417	81.932	34.515				
aa-rwlt-coding-agent-011	12	208	21811	8	8	682	7	10223616	15.29	23.688	48.767	84.84	36.073				
aa-rwlt-coding-agent-011	13	891	22019	28	28	689	27	35782656	17.095	25.654	62.649	98.598	35.949				
aa-rwlt-coding-agent-011	14	583	22910	19	19	717	18	24281088	18.375	27.226	54.131	99.149	45.018				
aa-rwlt-coding-agent-011	15	3730	23493	117	117	735	116	149520384	27.579	37.039	106.73	161.449	54.719				
aa-rwlt-coding-agent-011	16	796	27223	26	26	851	25	33226752	29.503	39.357	66.809	114.317	47.508				
aa-rwlt-coding-agent-011	17	520	28019	17	17	876	16	21725184	30.234	39.808	58.249	111.93	53.681				
aa-rwlt-coding-agent-011	18	1169	28539	38	38	892	37	48562176	34.033	44.49	74.928	135.075	60.147				
aa-rwlt-coding-agent-011	19	530	29708	17	17	929	16	21725184	35.218	46.043	60.498	123.043	62.545				
aa-rwlt-coding-agent-011	20	493	30238	16	16	946	15	20447232	36.542	46.988	62.052	117.612	55.56				
aa-rwlt-coding-agent-011	21	923	30731	30	30	961	29	38338560	39.596	50.506	72.344	137.717	65.373				
aa-rwlt-coding-agent-011	22	619	31654	20	20	990	19	25559040	41.58	52.972	75.048	134.82	59.772				
aa-rwlt-coding-agent-011	23	355	32273	12	12	1009	11	15335424	42.477	53.455	64.331	131.046	66.715				
aa-rwlt-coding-agent-011	24	566	32628	19	19	1020	18	24281088	44.139	55.026	71.53	141.167	69.637				
aa-rwlt-coding-agent-011	25	903	33194	29	29	1038	28	37060608	46.903	59.033	70.938	145.362	74.424				
aa-rwlt-coding-agent-011	26	2075	34097	66	66	1066	65	84344832	54.352	66.47	100.704	182.062	81.358				
aa-rwlt-coding-agent-011	27	925	36172	30	30	1131	29	38338560	56.391	68.591	75.328	160.499	85.171				
aa-rwlt-coding-agent-011	28	526	37097	17	17	1160	16	21725184	58.798	70.974	72.361	159.513	87.152				
aa-rwlt-coding-agent-011	29	896	37623	29	29	1176	28	37060608	65.117	78.305	76.864	181.905	105.041				
aa-rwlt-coding-agent-011	30	195	38519	7	7	1204	6	8945664	66.126	78.775	68.896	162.792	93.896				
aa-rwlt-coding-agent-011	31	357	38714	12	12	1210	11	15335424	66.919	79.361	78.573	164.043	85.47				
aa-rwlt-coding-agent-011	32	950	39071	30	30	1222	29	38338560	70.844	83.626	80.104	180.26	100.156				
aa-rwlt-coding-agent-011	33	668	40021	22	22	1251	21	28114944	72.061	84.911	93.596	186.11	92.514				
aa-rwlt-coding-agent-011	34	673	40689	22	22	1272	21	28114944	75.368	88.372	78.947	185.651	106.704				
aa-rwlt-coding-agent-011	35	1074	41362	35	35	1293	34	44728320	78.844	91.846	95.882	200.457	104.575				
aa-rwlt-coding-agent-011	36	396	42436	13	13	1327	12	16613376	81.075	94.365	71.034	182.971	111.937				
aa-rwlt-coding-agent-011	37	240	42832	8	8	1339	7	10223616	82.525	95.895	76.596	186.492	109.896				
